CAS #.CAS #,Compound,"LA3C0610 - Marathon Petroleum Garyville,.Detection Level (DL)","LA3C0610 - Marathon Petroleum Garyville,.lb/cycle","OH2A0910 BP-Husky Oregon, OH.DL","OH2A0910 BP-Husky Oregon, OH.lb/cycle","TX3B1160 ExxonMobil Baytown, TX.DL","TX3B1160 ExxonMobil Baytown, TX.lb/cycle","TX3B1200 Houston Refining Houston, TX.DL","TX3B1200 Houston Refining Houston, TX.lb/cycle","VI6A1530 Hovensa Christiansted, VI.DL","VI6A1530 Hovensa Christiansted, VI.lb/cycle"
,VOC,,,,,,,,,,
,SVOC,,0.99,,,,,,,,
83-32-9,Acenaphthene,,,,1.47E-02,,6.10E-03,DLL,2.84E-04,,6.99E-02
209-96-8,Acenaphthylene,,,,2.88E-03,BDL,7.86E-03,BDL,2.20E-05,,4.27E-03
62-53-3,Aniline,,,BDL,1.30E-02,BDL,7.86E-03,DLL,2.34E-05,,5.68E-02
120-12-7,Anthracene,,,,6.00E-02,,1.23E-02,,9.81E-04,,1.47E-01
92-87-5,Benzidine,,,BDL,9.40E-02,BDL,7.86E-02,BDL,2.29E-04,,
56-55-3,Benzo(a)Anthracene,,,,5.10E-03,DLL,6.44E-03,DLL,1.08E-04,,3.10E-02
205-99-2,Benzo(b)Fluoranthene,,,DLL,3.70E-03,BDL,7.86E-03,DLL,8.70E-06,,6.60E-03
207-08-9,Benzo(k)Fluoranthene,,,BDL,4.80E-03,BDL,7.86E-03,BDL,4.80E-06,,5.32E-03
191-24-2,Benzo(ghi)Perylene,,,,3.20E-03,BDL,7.86E-03,DLL,1.30E-05,,1.44E-02
50-32-8,Benzo(a)Pyrene,,,,4.99E-03,DLL,4.27E-03,,2.18E-05,,2.74E-02
192-97-2,Benzo(e)Pyrene,,,,2.90E-03,DLL,2.64E-03,,1.63E-05,,
92-52-4,Biphenyl,,,,2.00E-02,,4.06E-03,,3.89E-04,,
1319-77-3,Cresols,,,,4.54E-02,BDL,7.86E-03,,,,
218-01-9,Chrysene*,,,,6.70E-03,DLL,7.86E-03,,1.28E-04,,3.21E-02
53-70-3,"Dibenzo(a,h)Anthracene*",,,DLL,1.20E-03,BDL,7.86E-03,DLL,5.90E-06,,1.03E-02
132-64-9,Dibenzofuran,,,,1.77E-02,,3.07E-03,,1.21E-04,,3.74E-02
192-65-4,"Dibenzo(a,e)pyrene",,,DLL,1.90E-03,DLL,7.86E-03,BDL,3.60E-06,,
119-90-4,"3,3'-Dimethoxybenzidine",,,BDL,2.20E-02,DLL,2.91E-02,DLL,1.81E-04,,
60-11-7,Dimethylaminobenzene,,,BDL,3.80E-03,BDL,7.86E-03,BDL,1.20E-05,,
57-97-6,"7,12-Dimethybenz(a)anthracene",,,DLL,6.00E-03,BDL,7.86E-03,BDL,3.60E-06,,
119-93-7,"3,3'-Dimethylbenzidine",,,BDL,2.80E-02,BDL,7.86E-03,BDL,1.74E-04,,
122-09-8,"a,a-Dimethylphenethylamine",,,BDL,1.30E-02,BDL,1.97E-02,BDL,7.22E-05,,
105-67-9,"2,4-Dimethylphenol",,,,2.04E-02,BDL,7.86E-03,,1.14E-04,,8.63E-02
206-44-0,Fluoranthene,,,,7.30E-03,BDL,7.86E-03,,1.75E-04,,2.44E-02
86-73-7,Fluorene,,,,4.96E-02,,1.52E-02,,9.04E-04,,1.82E-01
193-39-5,"Indeno(1,2,3-cd)Pyrene",,,,9.12E-04,BDL,6.14E-03,DLL,4.60E-06,,6.74E-03
78-59-1,Isophorone,,,BDL,4.40E-03,BDL,6.14E-03,BDL,1.35E-05,,
56-49-5,3-Methylcholanthrene,,,BDL,5.90E-03,BDL,6.14E-03,,3.60E-06,,
91-57-6,2-Methylnaphthalene,,,,7.27E-01,,2.56E-01,,1.32E-02,,2.91E+00
91-20-3,Naphthalene,,0.82,,4.08E-01,,1.46E-01,,5.14E-03,,1.74E+00
198-55-0,Perylene,,,DLL,4.80E-04,BDL,7.86E-03,BDL,3.60E-06,,
85-01-8,Phenanthrene,,,,1.46E-01,,2.51E-02,,2.95E-03,,4.62E-01
108-95-2,Phenol,,,,1.79E-02,BDL,7.86E-03,BDL,1.82E-05,,1.21E-01
106-50-3,"1,4-Phenylenediamine",,,BDL,3.80E-02,BDL,7.86E-02,BDL,1.08E-04,,
129-00-0,Pyrene,,,,2.74E-02,,5.21E-03,,7.96E-04,,8.01E-02
95-53-4,o-Toluidine,,,,6.70E-03,DLL,6.86E-03,BDL,2.37E-05,,
,Total POM,,,,1.49E+00,,,,,,
