CAS #,Compound,"LA3C0610 - Marathon Petroleum Garyville,.Detection Level (DL)","LA3C0610 - Marathon Petroleum Garyville,.lb/cycle","OH2A0910 BP-Husky Oregon, OH.DL","OH2A0910 BP-Husky Oregon, OH.lb/cycle","TX3B1160 ExxonMobil Baytown, TX.DL","TX3B1160 ExxonMobil Baytown, TX.lb/cycle","TX3B1200 Houston Refining Houston, TX.DL","TX3B1200 Houston Refining Houston, TX.lb/cycle","VI6A1530 Hovensa Christiansted, VI.DL","VI6A1530 Hovensa Christiansted, VI.lb/cycle"
,METALS,,,,,,,,,,
7400-36-0,Antimony,,,,2.20E-06,BDL,1.60E-05,BDL,2.87E-07,,
7440-38-2,Arsenic,.,,DLL,5.20E-06,BDL,9.65E-06,BDL,1.15E-06,,
7440-41-7,Beryllium,,,DLL,3.20E-07,BDL,7.98E-07,BDL,2.87E-07,,
7440-43-9,Cadmium,,,,1.10E-06,DLL,3.20E-05,,5.79E-07,,
7440-47-3,Chromium,,,,3.40E-05,,1.40E-04,,1.37E-05,,
7439-92-1,Lead,,,,1.35E-04,,1.23E-05,,6.67E-07,,
7439-96-5,Manganese,,,,9.69E-05,,7.47E-04,,8.50E-06,,
7440-02-0,Nickel,,,,1.78E-04,,3.31E-04,,6.78E-06,,
7782-22-4,Selenium,,,DLL,4.90E-05,DLL,9.22E-05,BDL,2.87E-06,,
7440-48-4,Cobalt,,,,4.40E-06,BDL,9.88E-05,,1.57E-06,,
7439-97-6,Elemental Mercury,,,DLL,8.60E-07,BDL,3.03E-05,BDL,2.38E-06,,
,Oxidized Mercury,,,DLL,4.20E-06,BDL,1.41E-05,DLL,7.98E-07,,
,Total Mercury,,,DLL,5.00E-06,,,BDL,3.28E-06,,
18540-29-9 Hexavalent Chromium,18540-29-9 Hexavalent Chromium,,,,,,,,,,
7664-41-7,Ammonia,,,,,,,,,,
630-08-0,Carbon Monoxide,,,,1.67E+00,,2.78E-03,BDL,2.97E-04,,
7782-50-5,Chlorine,,,BDL,4.00E-04,,,,,,
,Chlorine gas,,,,,DLL,1.13E-03,,,,
67-56-1,Methanol,,,BDL,1.90E-01,DLL,8.90E-04,,1.70E-05,,
74-82-8,Methane,,263.00,,3.21E+02,,7.53E+01,,5.13E+00,,
74-84-0,Ethane,,67.20,,5.49E+01,,2.14E+01,,7.70E-01,,
75-69-4,Trichlorofluoromethane,,,,,,,,,,
74-83-9,Bromomethane,,,,,,,,,,
10102-43-9 Nitric Oxide,10102-43-9 Nitric Oxide,,,,ND,,9.38E-04,BDL,3.95E-04,,
,Sulfur Dioxide,,,,ND,,4.47E-02,DLL,7.65E-04,,
,Total Reduced Sulfur,,,,1.58E+01,,,DLL,1.34E-02,,
,Condensible Particulate,,3.96,,4.94E-01,,1.36E+00,,3.23E-01,,
,Filterable Particulate,,0.34,,9.99E-01,,8.23E-01,,3.97E-01,,
,Filterable PM2.5,,,,,,,,,,
,Total PM2.5,,,,,,,,,,
,Total PM,,4.29,,2.38E+00,,2.18E+00,,7.21E-01,,6.16E+01
