ICR_ID,PLANT NAME,FACILITY_NAME,LOCATION_ADDRESS,CITY,STATE COUNTY_NAME,ZIPCODE
NM3E0891,Lovington Refinery,Navajo Refining Co. - Lovington,5 MILES S. OF LOVINGTON ON HWY.,18 LOVINGTON,Lea County,88260
NV5A0810,Foreland-Eagle Springs Refinery,EAGLE SPRINGS REFINERY,"HC 34, BOX 34830",ELY,Nye County,89301
OH2A0910,BP Toledo Refinery,BP OIL COMPANY TOLEDO REFINNERY,4001 CEDAR POINT ROAD,OREGON,Lucas County,43616
OH2A0920,Marathon Petroleum Company LP - Ohio Refining Division,"MARATHON PETROLEUM COMPANY LLC, CANTON REFINERY",2408 GAMBRINUS AVENUE SW,CANTON,Stark County,44706
OH2A0930,Lima Refining Company,Valero Refining Co. (prev. Premcor Refining Group),1150 SOUTH METCALF STREET,LIMA,Allen County,45804
OH2A0940,Toledo Refining Company LLC,SUNOCO INC. TOLEDO REFINERY,1819 WOODVILLE ROAD,OREGON,Lucas County,43616
OK2C0950,ConocoPhillips Ponca City Refinery,CONOCOPHILLIPS CO PONCA CITY REFI NERY,1000 S PINE ST,PONCA CITY,Kay County,74601-7501
OK2C0960,Wynnewood Refining Company,WYNNEWOOD REFINING CO,906 S POWELL,WYNNEWOOD,Garvin County,73098
OK2C0970,Holly Tulsa East Refinery,SINCLAIR OIL TULSA REFINING TULSA TRUCKING,902W 25TH ST,TULSA,Tulsa County,74107
OK2C0980,Holly Tulsa West Refinery,SUNOCO PIPELINE LP - SUNOCO BALLINGER - COLEMAN COUNTY TX,1700 S UNION AVE,TULSA,Tulsa County,74107
OK2C0990,Valero Ardmore Refinery,VALERO RFNRY CO/ARDMORE RFNRY,HWY. 142 & E. CAMERON RD.,ARDMORE,Carter County,73401
OK2C1000,Ventura Refinery,"Ventura Refining & Transmission, LLC",24322 East 910 Road,Thomas,Custer County,73669
PA1A1020,"Sunoco Inc., Marcus Hook Refinery",SUNOCO MARCUS HOOK REF,100 GREEN ST,MARCUS HOOK,Delaware County,19061
PA1A1030,"Sunoco, Inc. (R&M) - Philadelphia Refinery",SUNOCO GIRARD POINT REFINERY,3144 PASSYUNK AVE,PHILADELPHIA,Philadelphia County,19145
PA1A1040,ConocoPhillips Trainer Refinery,CONOCOPHILLIPS CO. TRAINER REFINERY,4101 POST RD,TRAINER,Delaware County,19061
PA1B1010,"American Refining Group, Inc.",AMERICAN REFINING GROUP INC,77 N KENDALL AVE,BRADFORD,McKean County,16701
PA1B1050,United Refining Company,UNITED REFINING CO/WARREN PLT,15 BRADLEY ST,WARREN,Warren County,16365-3224
TN2A1060,Memphis Refinery - CBI,"Valero Refining Co. (prev. Premcor Refining, prev. Williams Refining LLC)",543 West Mallory Avenue,Memphis,Shelby County,38109
TX3A1070,"AGE Refining, Inc.",AGE Refining & Manufacturing,7811 S. PRESA ST.,SAN ANTONIO,Bexar County,78223
TX3A1080,Big Spring Refinery,FINA OIL & CHEMICAL,I. 20 AT REFINERY ROAD,BIG SPRING,Howard County,79721
TX3A1120,El Paso Refinery,EL PASO REFINERY,6501 TROWBRIDGE,PASO,El Paso County,79905
TX3A1190,Delek Refinery,,1702 E COMMERCE ST,EL,Smith County,75702
TX3A1230,"Borger, Refinery",DELEK TYLER REFINERY ConocoPhillips Co. - Borger (prev. Phillips 66 Co.),SPUR 119 NORTH,TYLER BORGER,Hutchinson County,79007
TX3A1290,Three Rivers Refinery,VALERO THREE RIVERS REFINERY,301 LEROY STREET,THREE RIVERS,Live Oak County,78071
TX3A1300,"Diamond Shamrock Refining Company, L.P.",Valero Energy Corp. - McKee (prev. Diamond Shamrock Refining),6701 FM 119,SUNRAY,Moore County,79086
TX3B1090,,TOTAL PETROCHEMICALS USA INC. - PORT ARTHUR REFINERY,,,,
